"","V160001","V160101","V160101f","V160101w","V160102","V160102f","V160102w","V160501","V161002","V161003","V161004","V161005","V161006","V161027","V161030","V161031","V161080x","V161082x","V161083x","V161084x","V161085x","V161086","V161087","V161088","V161089","V161090","V161091","V161092","V161093","V161094","V161095","V161096","V161112","V161114x","V161127","V161140x","V161141x","V161142x","V161158x","V161159","V161160","V161161","V161162","V161163","V161164","V161165","V161166","V161167","V161168","V161169","V161170","V161178","V161181","V161184","V161187","V161189","V161192","V161194x","V161195x","V161196x","V161197","V161198","V161201","V161204x","V161213x","V161214x","V161225x","V161226x","V161227x","V161228x","V161229x","V161231","V161232","V161233x","V161234","V161235x","V161241","V161242","V161243","V161265x","V161267","V161267x","V161268","V161270","V161275x","V161308x","V161309","V161310a","V161310b","V161310c","V161310d","V161310e","V161310f","V161310x","V161324","V161331x","V161430","V162034a","V162035","V162036a","V162045x","V162058x","V162059x","V162060x","V162061x","V162062x","V162094","V162095","V162096","V162101","V162106","V162107","V162108","V162110","V162113","V162176x","V162230x","V162231x","V162238x","V162255x","V162298","V162310","V162311","V162312","V162313","V162314","V162345","V162346","V162347","V162348","V162349","V162350","V162351","V162352","V162353","V162354","V162355","V162356","V162357","V162358","V162359","V162360","V162361","V162362","V162363","V162364","V162365","V162366","V162367"
"1",NA,0.827,0.8877,0,0.842,0.9271,0,1,1,3,1,2,NA,NA,1,2,3,4,4,4,4,0,85,NA,NA,0,70,0,15,NA,0,70,1,7,2,5,1,5,7,5,5,4,5,2,2,2,3,1,1,4,4,NA,6,6,3,7,3,4,5,1,2,7,6,4,1,7,6,2,4,1,4,3,2,1,2,5,1,3,1,NA,29,3,1,9,10,NA,2,1,0,0,0,0,0,1,1,21,NA,2,1,NA,11,11,NA,11,NA,2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2",NA,1.0806,1.1605,0,1.0133,1.0841,0,1,1,1,1,1,1,NA,1,2,4,4,NA,NA,4,0,85,50,NA,NA,85,30,50,NA,15,85,1,4,NA,3,3,3,6,3,5,1,5,2,2,3,2,3,2,3,5,4,6,1,3,4,1,1,5,1,1,7,2,6,2,7,1,1,1,1,NA,3,4,4,2,3,2,NA,3,NA,26,3,6,13,10,NA,2,1,0,0,0,0,0,1,0,3,0,2,1,NA,11,11,11,11,NA,2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3",NA,0.3878,0.4161,0,0.3672,0.3985,0,1,1,4,3,2,NA,NA,NA,NA,4,4,4,4,4,50,60,NA,NA,NA,NA,30,50,NA,50,50,1,2,3,3,2,3,3,4,5,4,5,3,3,4,4,4,2,5,5,NA,6,6,2,7,1,7,2,6,1,7,NA,4,4,7,4,2,5,1,1,1,2,1,3,3,2,NA,3,NA,23,2,6,9,10,NA,2,1,0,0,0,0,0,1,2,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4",NA,0.3596,0.3852,0,0.3663,0.4183,0,1,1,3,2,1,2,2,NA,NA,2,4,4,3,4,0,60,99,99,40,60,15,50,99,30,70,1,6,2,3,3,4,5,4,4,3,5,1,2,3,3,3,1,4,3,3,5,6,3,5,3,4,5,4,1,5,5,6,1,6,4,4,1,1,1,3,3,1,2,3,1,3,1,NA,58,9,1,9,10,NA,2,1,0,0,0,0,0,1,0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5",NA,0.647,0.6931,0,0.6463,0.7262,0,1,2,3,2,1,1,NA,1,3,3,3,4,3,4,15,0,70,50,50,NA,40,70,50,70,40,1,4,1,3,3,5,3,5,5,3,5,4,5,3,5,5,1,3,5,NA,2,1,1,7,3,6,6,7,4,7,1,7,7,4,1,1,5,4,4,2,4,2,2,4,1,3,2,NA,38,5,4,9,10,NA,2,1,0,0,0,0,0,1,3,38,0,4,1,NA,11,12,10,10,NA,4,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"6",NA,0.7062,0.7588,0,0.6881,0.7246,0,1,1,1,1,1,2,NA,NA,NA,4,4,4,4,4,0,50,50,50,15,70,0,40,NA,15,30,1,7,NA,5,3,3,5,4,5,3,5,5,2,3,3,3,1,3,3,3,6,6,2,7,3,2,5,1,1,5,6,7,1,4,7,2,1,NA,1,2,2,3,2,2,1,3,2,NA,60,10,2,14,10,NA,2,0,0,0,0,0,1,1,1,22,1,2,2,NA,1,11,11,NA,NA,2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"7",NA,3.9604,4.2512,0,4.6151,4.7902,0,1,1,2,2,1,1,NA,1,1,4,1,1,2,3,85,0,NA,NA,30,60,100,85,40,85,15,1,4,2,4,3,2,1,2,1,1,4,1,5,5,3,5,2,2,5,7,5,6,1,1,3,4,6,7,1,1,NA,7,4,6,1,4,6,5,1,1,4,2,3,2,1,3,2,NA,58,9,1,5,10,NA,2,0,1,0,0,0,0,2,0,11,0,1,1,NA,11,10,10,10,NA,1,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"8",NA,0.962,1.0325,0,0.9426,1.041,0,1,2,1,1,1,2,NA,1,2,4,4,4,4,4,15,85,15,50,0,85,0,15,NA,0,40,1,4,NA,4,3,4,4,5,4,3,5,5,1,2,2,2,1,5,4,2,5,7,3,7,3,1,4,1,1,7,2,5,2,7,6,1,3,4,1,1,3,2,2,3,1,3,2,NA,56,9,3,9,10,NA,2,1,0,0,0,0,0,1,0,40,0,2,1,NA,1,11,11,NA,NA,2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"9",NA,0.9761,1.0481,0,1.0097,1.0733,0,1,1,1,1,1,2,NA,NA,NA,3,4,3,4,4,15,60,50,50,30,85,0,0,NA,15,60,1,7,2,4,4,3,5,5,4,3,5,4,2,3,3,3,1,4,4,3,5,7,3,7,3,7,2,1,1,7,NA,7,2,7,4,1,5,1,1,1,3,1,2,4,2,NA,3,NA,45,7,5,9,10,NA,2,1,0,1,0,0,0,6,0,3,0,NA,NA,NA,0,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"10",NA,0.6182,0.6642,0,0.6005,0.6375,0,1,2,3,1,2,NA,NA,NA,NA,2,2,2,2,1,60,50,NA,50,NA,NA,70,50,NA,50,50,1,2,NA,3,3,4,3,2,3,2,4,3,3,5,3,1,2,2,3,3,4,1,1,4,3,4,5,7,3,4,3,4,1,3,2,1,6,2,1,1,4,3,3,2,1,2,2,NA,30,4,1,10,10,NA,2,1,0,0,0,0,0,1,2,3,0,3,2,NA,1,12,NA,NA,NA,3,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
