V161198,V161178,V161126,V161310x,V161196x,V160101,V161087
7,NA,NA,White,1,0.827,85
7,4,5,White,1,1.0806,85
7,NA,NA,White,6,0.3878,60
5,3,NA,White,4,0.3596,60
7,NA,4,White,7,0.647,0
5,3,6,White,1,0.7062,50
1,7,NA,Black,7,3.9604,0
7,2,5,White,1,0.962,85
7,3,4,NA,1,0.9761,60
4,3,3,White,7,0.6182,50
6,4,NA,White,4,2.146,50
NA,NA,2,White,7,0.5548,0
2,4,4,NA,7,0.919,30
4,3,NA,White,1,1.166,85
2,5,2,White,7,0.335,0
7,7,NA,White,7,1.05,60
3,5,2,NA,7,0.8084,0
6,2,6,White,1,0.2423,100
2,6,3,White,7,1.7603,0
4,4,NA,White,7,1.3938,15
7,4,5,White,4,0.8591,85
7,4,3,White,1,0.5387,90
NA,NA,NA,White,7,2.7749,0
6,4,6,White,6,0.5215,60
7,1,7,NA,2,1.0294,60
7,1,NA,NA,1,0.8431,70
5,5,2,White,7,0.2153,40
NA,4,NA,White,4,0.9996,70
2,6,2,White,7,0.976,0
5,3,4,White,1,1.8963,40
4,5,2,White,4,0.9458,60
7,1,6,White,1,0.3137,85
4,4,6,White,1,0.9602,100
7,1,7,White,1,0.2302,100
1,NA,4,White,3,0.5052,40
5,4,2,White,7,0.595,15
4,4,NA,White,1,1.2441,60
6,4,4,White,4,0.5705,85
NA,4,4,NA,1,0.9134,85
1,5,2,Black,7,2.0735,0
7,4,6,White,1,1.1632,80
5,4,5,White,4,0.2349,60
7,1,1,Black,6,0.7569,0
6,1,6,White,1,0.7611,100
7,2,4,White,1,0.9391,70
4,3,3,White,7,1.2799,0
1,6,6,NA,6,0.2348,60
7,4,4,White,1,0.51,70
3,6,2,NA,4,0.9644,40
NA,NA,NA,Black,2,1.0705,40
NA,NA,4,White,7,1.2944,0
6,5,2,White,2,0.2921,30
5,1,5,White,4,0.3374,85
6,2,6,White,1,0.4777,85
3,4,2,White,7,0.6189,15
5,5,3,White,3,1.6747,30
5,3,NA,NA,7,0.4045,-99
2,5,4,NA,7,0.3406,0
2,5,2,White,7,0.6149,0
5,NA,NA,White,2,1.0145,70
3,5,2,Black,4,0.4979,0
4,NA,NA,Black,7,1.263,0
1,5,4,White,6,0.6266,50
5,4,4,White,6,0.6756,40
